h3,lat,lon,area,police_station,CIS,n_parking,enf_days,officers,intensity_per_visit,gap
896189262a7ffff,12.849944261971416,77.65683910422415,Salarpuria Infozone,Electronic City,34.52,116,4,1,29.0,0.419
8961892eeb3ffff,12.99111494783534,77.65201601468333,NGEF Layout,Banaswadi,39.13,155,6,2,25.8,0.355
896189218a3ffff,12.98541645373974,77.74651839120118,Gulmohar,Whitefield,40.26,106,7,2,15.1,0.332
8961892cb83ffff,13.053309975275944,77.59165509866833,Godrej Platinum,Kodigehalli,39.49,150,7,6,21.4,0.278
8961892ebc7ffff,13.007255353639623,77.62158035665794,Old Bagalur Layout,Pulikeshinagar(F.Town),32.92,105,7,3,15.0,0.263
8960145940fffff,13.033100148500397,77.55942020505074,Mattikere Layout,Yeshwanthpura,42.54,142,14,5,10.1,0.198
8960145a30bffff,12.959469114076068,77.52751727148758,Sri Basaveshwara HBCS,Byatarayanapura,56.94,680,17,15,40.0,0.189
89601459eafffff,13.04822039650394,77.50072450382113,Sobha Garrison,Peenya,38.88,163,12,7,13.6,0.184
8960145a277ffff,12.9679665047787,77.5432946410304,Billiards Junction,Vijayanagara,33.08,75,10,5,7.5,0.182
8960145a3a3ffff,12.94880032151652,77.52252990183392,BDA Layout,Byatarayanapura,33.38,80,12,5,6.7,0.158
8960145b153ffff,12.99142471030218,77.55932558615133,Prakash Nagar,Rajajinagar,35.77,114,12,7,9.5,0.158
8960145a357ffff,12.960527866486713,77.53054154122069,KPA Block,Byatarayanapura,46.67,288,17,13,16.9,0.155
8961892522bffff,12.966500082018399,77.65822152458404,Jeevan Bima Nagar,Jeevanbheemanagar,34.22,88,13,4,6.8,0.155
