patrol_id,name,lat,lon,n_parking,CIS,impact_share_%,cum_impact_%,top_violation,police_station
1,Cottonpet Circle,12.976824891054255,77.5771089785534,20786,7228.0,12.21,12.21,NO PARKING,Upparpet
2,Tasker Town,12.9819524481781,77.60878056328708,12825,4999.7,8.45,20.66,WRONG PARKING,Shivajinagar
3,Chanda Nagar,12.964912532674571,77.57707229707201,11283,3796.6,6.42,27.08,WRONG PARKING,City Market
4,Maharani College Junction,12.974349547728036,77.5785368122612,7270,2600.0,4.39,31.47,WRONG PARKING,Upparpet
5,New Horizon College of Engineering,12.932838793222686,77.68967717780743,8766,2589.0,4.38,35.85,NO PARKING,HAL Old Airport
6,Sivanchetti Gardens,12.9794298959222,77.610075244687,6902,2587.3,4.37,40.22,NO PARKING,Shivajinagar
7,Chandni Chowk,12.982581058727783,77.60207031392541,7327,2243.1,3.79,44.01,WRONG PARKING,Shivajinagar
8,AT Extension,12.978816564173528,77.5742989088999,6872,2231.5,3.77,47.78,WRONG PARKING,Upparpet
9,City Market Circle,12.963890722041201,77.58265606559495,5104,1773.6,3.0,50.78,WRONG PARKING,City Market
10,Adarsha Layout,12.999807022913007,77.54928323660184,5099,1689.7,2.86,53.64,WRONG PARKING,Vijayanagara
11,Devasandra Junction,13.009192040111204,77.69524224282372,4058,1400.0,2.37,56.01,WRONG PARKING,K.R. Pura
12,Manuvana,12.974604487938453,77.5452633212706,4790,1392.9,2.35,58.36,WRONG PARKING,Vijayanagara
13,Balepete,12.970658897310111,77.57649081801382,4037,1356.1,2.29,60.65,WRONG PARKING,City Market
14,Kirloskar Foundry,13.012935848092676,77.55280007001906,3651,1267.7,2.14,62.79,WRONG PARKING,Malleshwaram
15,Manjunatha Nagar,12.997247400983765,77.55046790873953,3320,1171.3,1.98,64.77,WRONG PARKING,Malleshwaram
